Episode,Steps,Training_Loss,Evaluation_Return
1,34,0.0,8.0
2,15,0.0,8.0
3,19,0.0,9.0
4,36,0.0,10.0
5,11,0.0,10.0
6,11,0.0,10.0
7,19,0.0,10.0
8,13,0.0,8.0
9,32,0.0,10.0
10,14,0.0,9.0
11,15,0.0,10.0
12,21,0.0,10.0
13,14,0.0,10.0
14,12,1.0798472491177646,10.0
15,19,0.9741107131305494,10.0
16,9,0.8801892068650987,10.0
17,20,0.7949047178030014,10.0
18,21,0.6784253830001468,9.0
19,13,0.5896806350121131,9.0
20,12,0.5271595244606336,9.0
21,21,0.44872120164689566,10.0
22,13,0.3778039194070376,8.0
23,19,0.315160671347066,10.0
24,14,0.2600423778806414,9.0
25,12,0.22674376145005226,10.0
26,13,0.19426709986650026,9.0
27,15,0.16520364880561828,10.0
28,11,0.14058534665541214,9.0
29,9,0.12603123651610482,8.0
30,23,0.1082583750071733,10.0
31,15,0.08859196404616038,9.0
32,19,0.07966795916620054,8.0
33,33,0.06534206539844022,9.0
34,20,0.0530571311712265,10.0
35,14,0.045504112860986164,11.0
36,18,0.04001995134684774,10.0
37,25,0.03386433735489845,10.0
38,11,0.02918626351112669,10.0
39,10,0.026478905230760574,10.0
40,22,0.023696612651375206,11.0
41,48,0.0188091746919478,12.0
42,13,0.015189924277365208,12.0
43,10,0.013506845664232969,11.0
44,12,0.012610423689087233,10.0
45,12,0.01200962889318665,11.0
46,14,0.010903775691986084,9.0
47,9,0.010725442734029558,11.0
48,11,0.00906534797765992,10.0
49,13,0.009169563794365296,9.0
50,20,0.008389761880971491,9.0
51,19,0.00724264523504596,9.0
52,14,0.006903313333168626,10.0
53,12,0.006518927790845434,10.0
54,16,0.006320431450149044,11.0
55,10,0.006064460519701243,12.0
56,9,0.005924279905027813,10.0
57,9,0.0063965230041907895,10.0
58,10,0.007215315755456686,9.0
59,12,0.006887645072614153,12.0
60,11,0.006686735644259236,10.0
61,20,0.006907057436183095,9.0
62,14,0.0066335511260799,10.0
63,8,0.00602884660474956,10.0
64,11,0.00625198254023086,11.0
65,11,0.005789460783654993,10.0
66,12,0.005766243790276349,10.0
67,12,0.0061054357793182135,12.0
68,11,0.006092590406875719,13.0
69,14,0.006032533677560943,11.0
70,9,0.006443644408136606,12.0
71,12,0.005964038699554901,9.0
72,10,0.006757825892418623,11.0
73,12,0.006710318460439642,11.0
74,17,0.00673350045347915,10.0
75,10,0.0065283626317977905,10.0
76,22,0.00684225705282932,12.0
77,11,0.006342592014169151,9.0
78,10,0.007148237805813551,10.0
79,9,0.006982011099656423,10.0
80,10,0.0068567602429538965,11.0
81,9,0.006445030112647348,9.0
82,14,0.006991126940452627,12.0
83,11,0.008028136100620031,12.0
84,11,0.00690991651605476,9.0
85,10,0.007509543048217893,11.0
86,11,0.0073845040222460575,12.0
87,11,0.007271489848128774,10.0
88,11,0.008912216829644009,9.0
89,12,0.00864700274541974,11.0
90,13,0.008838174828829674,10.0
91,11,0.007108946457843889,11.0
92,10,0.007766637718304992,11.0
93,12,0.008482102653943002,12.0
94,14,0.009573784656822681,12.0
95,10,0.008522610552608967,10.0
96,11,0.008377340283583511,12.0
97,12,0.009393367528294524,13.0
98,10,0.009159953705966473,12.0
99,12,0.009512391251822313,14.0
100,15,0.009343441668897867,14.0
101,12,0.010247336273702482,10.0
102,14,0.010518838984093495,9.0
103,12,0.01065363323626419,12.0
104,14,0.010744368391377586,9.0
105,11,0.010123290290886705,11.0
106,14,0.010222671586754066,13.0
107,10,0.00992658119648695,10.0
108,12,0.01124251028522849,12.0
109,12,0.010556639715408286,12.0
